run,random_seed,year,Anchor Handling Tug,Cable Laying Vessel,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Diving Support Vessel,Tugboat 1,Tugboat 2
18,18,2016,2419805.744675926,24066273.747181736,1171802.93573124,1171807.5816848783,1171806.6554382395,1563903.123013286,6072525.41894218,5354125.882924279
18,18,2017,1916617.7625,0.0,1168590.0255916116,1168596.674072135,1168596.1797213247,1329535.5215643996,6176329.774570738,6682574.159394871
18,18,2018,4032798.876831627,12999910.894382024,1168584.2800219366,1168586.6126357727,1168588.554093823,1574318.4912304531,5786845.743960492,5803447.608101466
18,18,2019,2868615.4153935187,15948785.024842855,1168589.4528679957,1168590.4327582186,1168588.3179705774,1289636.8611886834,4334016.643219908,4252285.918081147
19,19,1999,4645588.551558913,8701101.23836574,1165373.8847759112,1165378.553070799,1165382.61300856,0.0,7078205.172857429,6881657.1710302485
19,19,2000,4348126.827430556,13394958.228914352,1171790.2113741906,1171792.0670726253,1171793.000057774,0.0,5128967.720272872,5305825.085600029
19,19,2001,492310.00000000006,32876821.605639365,1168611.5429668669,1168611.5786162026,1168611.4557440374,3757476.306327789,8227594.788052354,6708679.392514459
19,19,2002,2782222.724652778,10134974.073456017,1168596.560561835,1168598.3712102666,1168600.5961732187,729319.1583159722,7058812.780350334,5311225.466031609
19,19,2003,1612483.9678240742,6608258.257467593,1168593.3296558931,1168596.6269361717,1168597.072719734,1473124.9605437305,3609468.7619947786,3029757.569038962
19,19,2004,0.0,0.0,1171793.0653120677,1171791.5309522217,1171793.37060466,1422281.311161966,4579938.34934615,5589822.348843597
19,19,2005,3940373.6513835182,3768663.207298611,1168583.3659495576,1168587.862570721,1168586.5928899457,1435395.919806357,6632606.730754265,6788196.633020122
19,19,2006,1025146.8013888889,24872798.511041544,1168592.8515140873,1168598.7186365847,1168599.5136747563,979685.7005747735,7080535.141174441,7380289.1920282785
19,19,2007,0.0,2664338.250164352,1168586.72803854,1168590.877230442,1168593.4668155403,1572276.4112880942,4482234.4012119565,4149041.434811889
19,19,2008,3557172.356045669,16739121.612307936,1171794.8863724805,1171797.4837978124,1171797.714248189,1125894.8142768005,6673666.654988802,6652467.376947502
19,19,2009,2475830.492864076,0.0,1168586.119059814,1168596.3193128684,1168593.8712791323,1219424.7806070661,6580010.987938905,6440441.39171787
19,19,2010,5498273.676525504,8000908.647706019,1168594.9185780145,1168600.4602391792,1168598.45711737,1576794.0431146016,6880287.716542684,7209871.152605304
19,19,2011,4561662.163833491,22963732.05449095,1168593.473000954,1168598.8005122337,1168598.272095174,1622730.8841635173,6703647.95712573,5931691.841664672
19,19,2012,1685204.683912037,2483088.452523148,1171791.438348634,1171795.7825959343,1171794.672545118,1993781.3844139515,4837713.655870253,5012761.830823002
19,19,2013,1734090.0605324074,10349990.658432871,1168582.7665678514,1168588.2582108052,1168586.5158464473,1300872.7381371823,5929136.466947145,5504716.856712437
19,19,2014,3773035.6092592594,2441357.9845833336,1168583.8688417193,1168587.8619107502,1168586.282451581,1307152.126136457,5786530.569788436,5839404.046236132
19,19,2015,225642.0833333333,29345057.045632992,1168607.9466568113,1168607.834948678,1168607.1614631645,1599009.9960257362,6535777.491145128,7178037.590209568
19,19,2016,2200904.8719907408,27046661.568202622,1171801.512548636,1171806.1448294418,1171806.327632907,2515756.359103769,6578593.094876248,6951627.213429737
19,19,2017,898106.1006944445,30951288.357872326,1168590.7899079989,1168590.0439889897,1168588.4574231755,1499430.5511925924,6072210.381496711,5606989.789110869
19,19,2018,0.0,16978918.904442314,1168578.2404074203,1168579.1707357496,1168585.263397689,1304599.4507722384,7584261.740339249,7551701.838451871
19,19,2019,1825986.1739583334,21375286.358886573,1168591.529366049,1168590.3350875948,1168587.5917164227,1775883.7302406048,6216154.997721323,6511604.781574908
20,20,1999,833514.9585648148,3336410.9255046295,1165381.358245355,1165383.4085467525,1165380.1655533304,0.0,6335558.910516481,6315104.316384012
20,20,2000,4494065.327508172,13035188.559895834,1171790.9807829496,1171792.9555259421,1171794.425590517,0.0,6255202.343749194,6849527.367457077
20,20,2001,2434847.0319444444,35807537.00956596,1168611.4521076486,1168609.6261830514,1168609.5551078753,3121422.331805772,9703611.994936857,11568708.430216523
20,20,2002,3524456.8971853578,3501261.626212963,1168596.4147566957,1168604.4316650792,1168602.7378777983,288209.47246527777,4340256.366959425,5928067.840759971
20,20,2003,5539140.683272397,14248947.83111574,1168596.2709809458,1168599.6930257417,1168596.6255933829,1395108.228137726,7171335.124099536,7154358.412354095
20,20,2004,5836115.245904847,10868560.643833395,1171793.1429926048,1171792.2810804956,1171791.0767771297,999466.6320991977,4961549.521081127,4135171.4132624394
20,20,2005,1646421.0105324073,10761776.86725463,1168585.6759679627,1168587.2543302425,1168590.3974890464,1621877.0156803872,4731495.77702918,3877324.153773481
20,20,2006,2791198.002314815,4775866.431891204,1168593.1224173838,1168595.76871317,1168599.260832326,1556107.8149150074,6890347.706920266,7706280.1155023975
20,20,2007,3836107.3333333335,10902496.471284723,1168590.5561619974,1168589.7383861467,1168589.1436754202,1313255.8061893173,4880512.216620109,4188784.0900041577
20,20,2008,3324379.6411543894,13492300.476972222,1171787.879290657,1171794.162866519,1171793.891655197,1594283.5201413832,4959915.0435080165,5502351.500968564
20,20,2009,868537.2572916666,24459495.35248031,1168584.9483781117,1168588.0637045007,1168590.188335893,1727487.4603656786,4437107.515229181,4308281.660815396
20,20,2010,5370238.041955406,6469587.49380324,1168600.5450543961,1168603.0277360254,1168605.7376480934,1742795.4860956538,5240672.474676883,4312100.551901682
20,20,2011,3842179.3688636185,11555004.675067129,1168586.5748252752,1168587.035153913,1168590.501064963,1744776.9597745882,6983829.243563254,7119294.529916262
20,20,2012,1054048.3333333333,11497505.249834655,1171796.6096390665,1171797.535151537,1171799.8343776294,1944359.6168462108,5937724.559781045,6048494.932179638
20,20,2013,3583589.3502620636,4053223.128613426,1168581.1797679677,1168585.7923096681,1168584.54357662,1777396.0956291854,4752430.458902225,4848627.78849322
20,20,2014,1789518.766550926,29439494.197165262,1168588.6664854654,1168591.6580128572,1168594.1090829852,2275852.9425550173,4449658.843605774,4644701.291725507
20,20,2015,2737938.502906297,3306993.039108796,1168607.952888392,1168607.4073244527,1168607.647299076,2433209.081011551,6845153.129294037,8737696.62107957
20,20,2016,0.0,25430811.68106168,1171802.7057386143,1171807.6117302405,1171805.3723019105,2355098.3739568326,6835047.852544459,7830048.82992649
20,20,2017,4332895.547665401,17567594.696555555,1168587.0875291014,1168587.7258133986,1168591.537251724,1109246.8152104644,5928359.403368861,5553577.861903513
20,20,2018,3741084.471613749,3184941.8878935184,1168579.7593209036,1168584.2002187357,1168581.6524178688,1507034.2013046683,5790988.056476501,5805546.3218610445
20,20,2019,1485923.178699083,15009260.208965277,1168590.385480912,1168592.3491446981,1168590.5241281518,1647919.5952595507,7561531.588149866,7178581.870494135
