run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
15,15,2012,30843271.23287671,300000.0,47832017.398353375,0,3315037.8000000003,82290326.43123008
15,15,2013,30758999.999999996,300000.0,18073117.24768941,0,2052397.1,51184514.347689405
15,15,2014,30758999.999999996,300000.0,20484326.04645849,0,1369541.6,52912867.646458484
15,15,2015,30758999.999999996,300000.0,35490443.910377525,0,1379745.9,67929189.81037752
15,15,2016,30843271.23287671,300000.0,46283379.614012584,0,2430720.3000000003,79857371.1468893
15,15,2017,30758999.999999996,300000.0,23895348.212185595,0,2296367.9,57250716.11218559
15,15,2018,30758999.999999996,300000.0,15602573.77382564,0,1910429.9000000001,48572003.67382564
15,15,2019,30758999.999999996,300000.0,15597599.368517593,0,2069515.9000000001,48726115.26851759
16,16,1999,30758999.999999996,300000.0,21075886.55261686,0,3378996.8,55513883.352616854
16,16,2000,30843271.23287671,300000.0,20472670.739112988,0,2615978.7,54231920.6719897
16,16,2001,30758999.999999996,300000.0,52436227.60969063,0,1748497.0,85243724.60969064
16,16,2002,30758999.999999996,300000.0,23895022.034603663,0,2726418.1,57680440.13460366
16,16,2003,30758999.999999996,300000.0,19704017.86540954,0,2260074.8,53023092.665409535
16,16,2004,30843271.23287671,300000.0,20855852.038699344,0,2388004.1,54387127.371576056
16,16,2005,30758999.999999996,300000.0,21697319.59005664,0,1708695.0999999999,54465014.69005664
16,16,2006,30758999.999999996,300000.0,27549316.331438016,0,2113986.1,60722302.431438014
16,16,2007,30758999.999999996,300000.0,18787111.79651126,0,1196677.0,51042788.796511255
16,16,2008,30843271.23287671,300000.0,23998896.68011253,0,2506648.5,57648816.412989244
16,16,2009,30758999.999999996,300000.0,27548757.7442615,0,2483585.8,61091343.54426149
16,16,2010,30758999.999999996,300000.0,50620783.6495964,0,2703589.5,84383373.1495964
16,16,2011,30758999.999999996,300000.0,21846793.439770307,0,2763028.4,55668821.8397703
16,16,2012,30843271.23287671,300000.0,46377474.10719764,0,3038169.7,80558915.04007435
16,16,2013,30758999.999999996,300000.0,30198785.633079376,0,3240053.4,64497839.03307937
16,16,2014,30758999.999999996,300000.0,26724557.889731176,0,1893858.6,59677416.48973117
16,16,2015,30758999.999999996,300000.0,39734930.613434,0,1000764.1,71794694.713434
16,16,2016,30843271.23287671,300000.0,49941340.36809803,0,1648243.3,82732854.90097474
16,16,2017,30758999.999999996,300000.0,19411137.07032962,0,2532820.2,53002957.27032962
16,16,2018,30758999.999999996,300000.0,26140225.58656211,0,3333059.7,60532285.28656211
16,16,2019,30758999.999999996,300000.0,30142497.56262665,0,3264460.6,64465958.16262665
17,17,1999,30758999.999999996,300000.0,31649285.78255975,0,2483723.9,65192009.68255974
17,17,2000,30843271.23287671,300000.0,19422708.71669137,0,2238312.8000000003,52804292.74956808
17,17,2001,30758999.999999996,300000.0,75902362.09457764,0,1918388.1,108879750.19457763
17,17,2002,30758999.999999996,300000.0,38258595.6164703,0,2402561.3,71720156.9164703
17,17,2003,30758999.999999996,300000.0,24033046.882968523,0,2094565.5,57186612.382968515
17,17,2004,30843271.23287671,300000.0,31260695.557029553,0,1601692.3,64005659.08990626
17,17,2005,30758999.999999996,300000.0,27532610.620197337,0,2685648.2,61277258.82019734
17,17,2006,30758999.999999996,300000.0,24245615.67025001,0,1615346.7000000002,56919962.37025001
17,17,2007,30758999.999999996,300000.0,29163949.90355331,0,1950694.7,62173644.60355331
17,17,2008,30843271.23287671,300000.0,33459848.327800322,0,1832213.8,66435333.36067703
17,17,2009,30758999.999999996,300000.0,21990066.920959935,0,1905636.6,54954703.52095993
17,17,2010,30758999.999999996,300000.0,38601362.61414968,0,1347286.2,71007648.81414968
17,17,2011,30758999.999999996,300000.0,21312421.871460702,0,2541655.1,54913076.9714607
17,17,2012,30843271.23287671,300000.0,17482849.85716859,0,1660132.4000000001,50286253.4900453
17,17,2013,30758999.999999996,300000.0,30554178.33291123,0,2300312.0,63913490.33291122
17,17,2014,30758999.999999996,300000.0,39043042.11216964,0,3719956.6,73821998.71216963
17,17,2015,30758999.999999996,300000.0,32747124.610285565,0,1676238.4000000001,65482363.010285564
17,17,2016,30843271.23287671,300000.0,34523876.8427472,0,2658887.3,68326035.37562391
17,17,2017,30758999.999999996,300000.0,29612963.52460425,0,2299394.4,62971357.924604245
