run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Heavy Lift Vessel
25,25,2011,17370514.63451024,1168576.9701733072,1168570.9501661556,1168575.957278261,31701444.09948458
25,25,2012,14680350.46115086,1172575.7853154512,1172571.62224572,1172577.4175431628,17862750.0
25,25,2013,0.0,1167774.6078853006,1167904.8385871702,1167773.9078565876,22468117.53799664
25,25,2014,9233648.781568784,1168581.439791962,1168449.0033740166,1168584.964790092,24515296.296296295
25,25,2015,18172862.335828703,1168577.3124722666,1168577.6967651173,1168579.4166905049,20888362.352682114
25,25,2016,0.0,1171779.5722541409,1171785.334053772,1171785.0747665258,24611356.48148148
25,25,2017,0.0,1168582.2846555514,1168584.3864605047,1168583.0330753014,34890112.05868562
25,25,2018,7430119.586358797,1168580.0500631512,1168585.5303632237,1168585.3153727253,31851282.407407407
25,25,2019,23076999.692414105,1168581.8241779357,1168582.6852003594,1168579.627008728,24483236.111111112
25,25,2020,5012462.832763889,1171786.3860182506,1171784.0654415844,1171788.8514966613,35042977.71351007
26,26,2000,3021807.8586087963,1168566.5897719588,1168564.7367140886,1168560.6093971909,24773509.259259257
26,26,2001,12979247.402171295,1168575.0025899794,1168575.9034980757,1168575.6320038617,29666208.04212126
26,26,2002,6420619.092527778,1168576.5085383512,1168579.20831545,1168575.6674359788,29640859.561123874
26,26,2003,13947557.677466083,1168584.3188729046,1168582.8979804714,1168581.0962294226,49560857.8582872
26,26,2004,23592408.07952194,1171783.0055908614,1171781.9604703325,1171787.9454230808,49341709.89348776
26,26,2005,14291342.636939814,1168577.0398943706,1168577.3326268399,1168578.6858706707,35231518.65018732
26,26,2006,3720102.3410277776,1168580.921410906,1168578.3567583999,1168573.9846319775,33441095.735972196
26,26,2007,3879395.4924606476,1168581.500083317,1168578.2928605522,1168580.1990646673,38884916.11483579
26,26,2008,0.0,1173379.3921607817,1173381.4703051362,1173380.1810803374,41625373.457765214
26,26,2009,2576963.8617060184,1166975.741927148,1166974.7995617162,1166974.1956526597,54346860.697840646
26,26,2010,4148823.583226852,1168579.254519796,1168581.1169246337,1168580.147378411,47863189.534708
26,26,2011,9304996.65135852,1168576.0467390437,1168579.429617691,1168578.0532385025,39405257.1783222
26,26,2012,10241538.89449537,1171769.8030169627,1172573.9514509586,1171770.6645020924,7766898.148148148
26,26,2013,11599571.140025463,1168571.3063824812,1167772.851321983,1168571.408405408,26310837.9175352
26,26,2014,6606460.6373101855,1168577.8362354836,1168580.1565411477,1168579.5313639115,36302115.80689465
26,26,2015,25589452.10543054,1168576.0444218065,1168576.1381744107,1168576.565210106,35255288.61506661
26,26,2016,9882416.815347223,1171775.7626869364,1171779.0448346927,1171781.176866314,51566559.66044916
26,26,2017,2441818.5549652777,1168584.1813162554,1168587.4799184743,1168584.7483771332,28418808.842451762
26,26,2018,8477303.111439815,1168583.9426756434,1168582.5255931139,1168581.0168701261,74242125.10190333
26,26,2019,0.0,1168580.009584932,1168580.8616618686,1168583.4022172755,29649532.407407407
26,26,2020,10561233.357613426,1171782.2796491596,1171785.5744917395,1171787.9839064232,19721556.140263695
27,27,2000,14061340.985899435,1168562.051385875,1168557.3026627179,1168563.1297160462,30319203.380710084
27,27,2001,13813952.447691131,1168573.2173132254,1168577.15766948,1168573.541371334,36777199.35680408
27,27,2002,11312242.213747684,1168576.7065421003,1168577.4145025937,1168573.61318707,37290792.15665322
27,27,2003,17045709.12441655,1168579.8601263773,1168583.164807725,1168584.5671868988,51624887.9356263
27,27,2004,3862572.112509259,1171780.2345007139,1171778.2746108945,1171781.5748816687,52637093.23129852
27,27,2005,20509849.48919213,1168583.639694948,1168581.1019151243,1168581.1823762283,34311875.0
27,27,2006,3594729.5003912034,1168576.8012201611,1168576.7087322702,1168579.9339958138,39032131.85720844
27,27,2007,10682687.163,1168574.9932241712,1168575.7185387898,1168571.486633987,33872319.44444445
27,27,2008,3878851.1820092592,1173387.136372315,1173385.4042970086,1171778.4713223851,23464234.68200936
27,27,2009,10711370.928120371,1166982.3542348065,1166980.5351787298,1168580.6986411274,26990135.733467504
27,27,2010,9176555.02198611,1168577.8887510807,1168579.0162440857,1168581.2810227016,26722486.111111112
27,27,2011,0.0,1168572.9925012926,1168569.0506660512,1168572.553491629,36479747.415720835
27,27,2012,3775183.7673726855,1171772.9481077178,1171768.8321196444,1171766.8485697412,25786393.51851852
27,27,2013,0.0,1168567.3458066536,1168570.6761728462,1168569.0338313612,36373773.14814815
27,27,2014,9022330.936090278,1168577.5433226228,1168579.2827143131,1168579.0485431824,32269234.97357771
27,27,2015,10342052.099849537,1168577.896954971,1168579.319038939,1168576.823576117,32760046.81937206
27,27,2016,5115125.366567129,1171778.1568434353,1171779.0371846484,1171784.2771928445,20502291.666666668
27,27,2017,3984062.20525926,1168580.9474698699,1168580.5878062402,1168580.6157040666,29597450.27569191
27,27,2018,16147469.189532407,1168584.7818406469,1168584.2504199825,1168584.631527179,48281624.272194274
27,27,2019,3764733.0067060185,1168574.3513141882,1168578.9217087256,1168576.694449352,31870656.707758285
27,27,2020,9231817.885148147,1171788.8089286326,1171787.0565806914,1171788.7093632577,28126648.14814815
28,28,2000,7461979.89144676,1168556.9684157502,1168556.4625134978,1168562.6140391692,16429541.666666666
28,28,2001,4845730.771828704,1168575.483663094,1168572.430904034,1168575.6520738837,44856027.86762095
28,28,2002,6995735.009192996,1168578.6719317525,1168577.867433088,1168577.552500513,31374768.51851852
28,28,2003,3019705.9828657405,1168581.8445413453,1168583.1063217274,1168580.7940329907,38428645.94445479
